модель;эпохи;скорость обучения;слоёв;нейронов в слое;точность;время(c)
mlp;500;0.00200;4;20480;0.2955000102519989;76.1750907
mlp;500;0.002;4;20480;0.292;78.1
mlp;500;0.001;4;20480;0.279;77.4
mlp;500;0.001;4;20480;0.287;76.5
mlp;500;0.001;4;20480;0.279;77.6
mlp;2000;0.002;4;20480;0.296;315.1
mlp;2000;0.001;4;20480;0.306;313.6
mlp;2000;0.001;4;20480;0.288;318.4
lstm;5;0.001;1;16;0.282;8
lstm;5;0.001;1;32;0.282;8
lstm;5;0.001;1;16;0.447;9
lstm;5;0.001;1;32;0.425;10
lstm;5;0.001;1;16;0.282;8
lstm;5;0.001;1;32;0.163;8
lstm;5;0.004;1;16;0.438;6
lstm;5;0.004;1;32;0.614;9
lstm;5;0.007;1;16;0.516;8
lstm;5;0.007;1;32;0.674;10
lstm;5;0.010;1;16;0.472;8
lstm;5;0.010;1;32;0.703;10
lstm;10;0.001;1;16;0.368;14
lstm;10;0.001;1;32;0.338;19
lstm;10;0.004;1;16;0.687;14
lstm;10;0.004;1;32;0.725;19
lstm;10;0.007;1;16;0.783;14
lstm;10;0.007;1;32;0.800;19
lstm;10;0.010;1;16;0.817;14
lstm;10;0.010;1;32;0.817;19
lstm;15;0.001;1;16;0.463;20
lstm;15;0.001;1;32;0.577;27
lstm;15;0.004;1;16;0.799;20
lstm;15;0.004;1;32;0.809;27
lstm;15;0.007;1;16;0.832;20
lstm;15;0.007;1;32;0.811;27
lstm;15;0.010;1;16;0.835;20
lstm;15;0.010;1;32;0.822;26
lstm;20;0.001;1;16;0.614;24
lstm;20;0.001;1;32;0.706;35
lstm;20;0.004;1;16;0.820;26
lstm;20;0.004;1;32;0.818;36
lstm;20;0.007;1;16;0.849;26
lstm;20;0.007;1;32;0.840;36
lstm;20;0.010;1;16;0.830;26
lstm;20;0.010;1;32;0.818;35
lstm;25;0.001;1;16;0.637;32
lstm;25;0.001;1;32;0.780;39
lstm;25;0.004;1;16;0.845;30
lstm;25;0.004;1;32;0.848;44
lstm;25;0.007;1;16;0.813;32
lstm;25;0.007;1;32;0.821;44
lstm;25;0.010;1;16;0.843;32
lstm;25;0.010;1;32;0.837;41
lstm;30;0.001;1;16;0.720;34
lstm;30;0.001;1;32;0.772;46
lstm;30;0.004;1;16;0.836;34
lstm;30;0.004;1;32;0.821;47
lstm;30;0.007;1;16;0.836;35
lstm;30;0.007;1;32;0.824;50
lstm;30;0.010;1;16;0.833;38
lstm;30;0.010;1;32;0.823;51
lstm;35;0.001;1;16;0.683;44
lstm;35;0.001;1;32;0.799;61
lstm;35;0.004;1;16;0.832;43
lstm;35;0.004;1;32;0.839;54
lstm;35;0.007;1;16;0.836;40
lstm;35;0.007;1;32;0.823;54
lstm;35;0.010;1;16;0.820;40
lstm;35;0.010;1;32;0.823;54
lstm;40;0.001;1;16;0.762;45
lstm;40;0.001;1;32;0.816;64
lstm;40;0.004;1;16;0.812;50
lstm;40;0.004;1;32;0.830;69
lstm;40;0.007;1;16;0.845;50
lstm;40;0.007;1;32;0.823;69
lstm;40;0.010;1;16;0.829;49
lstm;40;0.010;1;32;0.839;63
lstm;45;0.001;1;16;0.800;56
lstm;45;0.001;1;32;0.808;78
lstm;45;0.004;1;16;0.836;56
lstm;45;0.004;1;32;0.840;78
lstm;45;0.007;1;16;0.832;56
lstm;45;0.007;1;32;0.837;78
lstm;45;0.010;1;16;0.825;56
lstm;45;0.010;1;32;0.835;77
lstm;50;0.001;1;16;0.710;60
lstm;50;0.001;1;32;0.814;78
lstm;50;0.004;1;16;0.831;62
lstm;50;0.004;1;32;0.834;86
lstm;50;0.007;1;16;0.837;60
lstm;50;0.007;1;32;0.829;85
lstm;50;0.010;1;16;0.820;60
lstm;50;0.010;1;32;0.824;86
gru;25;0.001;1;16;0.693;30
gru;25;0.001;1;32;0.780;38
gru;25;0.001;1;16;0.692;31
gru;25;0.001;1;32;0.785;38
gru;25;0.001;1;16;0.742;31
gru;25;0.001;1;32;0.763;38
gru;25;0.001;1;16;0.615;31
gru;25;0.001;1;16;0.730;31
gru;25;0.004;1;16;0.822;29
gru;25;0.007;1;16;0.816;29
gru;25;0.010;1;16;0.823;29
gru;10;0.001;1;16;0.343;13
gru;10;0.004;1;16;0.780;12
gru;10;0.007;1;16;0.826;12
gru;10;0.010;1;16;0.844;12
gru;20;0.001;1;16;0.558;23
gru;20;0.004;1;16;0.826;23
gru;20;0.007;1;16;0.820;23
gru;20;0.010;1;16;0.820;23
gru;30;0.001;1;16;0.789;35
gru;30;0.004;1;16;0.815;35
gru;30;0.007;1;16;0.817;35
gru;30;0.010;1;16;0.826;35
gru;40;0.001;1;16;0.792;49
gru;40;0.004;1;16;0.814;49
gru;40;0.007;1;16;0.818;46
gru;40;0.010;1;16;0.823;46
gru;50;0.001;1;16;0.830;58
gru;50;0.004;1;16;0.822;57
gru;50;0.007;1;16;0.808;57
gru;50;0.010;1;16;0.808;57
lstm;5;0.001;1;16;0.282;8
gru;10;0.001;1;16;0.363;14
gru;10;0.004;1;16;0.806;12
gru;10;0.007;1;16;0.836;12
gru;10;0.010;1;16;0.830;12
gru;20;0.001;1;16;0.687;24
gru;20;0.004;1;16;0.836;24
gru;20;0.007;1;16;0.827;23
gru;20;0.010;1;16;0.812;23
